season,season_start,player,team,salary,real_value,difference,games
1993-94,1993,A.C. Green,PHX,1885000.0,3002073,1117073.0,92.0
1991-92,1991,A.C. Green,LAL,1750000.0,1965261,215261.0,86.0
1992-93,1992,A.C. Green,LAL,1750000.0,1940589,190589.0,87.0
1999-00,1999,A.C. Green,LAL,1700000.0,1684318,-15682.0,105.0
2000-01,2000,A.C. Green,MIA,2250000.0,1409479,-840521.0,85.0
1990-91,1990,A.C. Green,LAL,1750000.0,886349,-863651.0,101.0
1997-98,1997,A.C. Green,DAL,5095088.0,1981461,-3113627.0,82.0
1996-97,1996,A.C. Green,"DAL, PHX",4851000.0,1564197,-3286803.0,83.0
1994-95,1994,A.C. Green,PHX,6472600.0,2525527,-3947073.0,92.0
1998-99,1998,A.C. Green,DAL,5125088.0,1164080,-3961008.0,50.0
1995-96,1995,A.C. Green,PHX,6473000.0,1171808,-5301192.0,86.0
1999-00,1999,A.J. Bramlett,CLE,118974.0,-22407,-141381.0,8.0
1991-92,1991,A.J. English,WAS,325000.0,540505,215505.0,81.0
1990-91,1990,A.J. English,WAS,275000.0,379599,104599.0,70.0
1993-94,1993,A.J. English,nan,300000.0,0,-300000.0,0.0
1992-93,1992,A.J. English,nan,406000.0,0,-406000.0,0.0
2000-01,2000,A.J. Guyton,CHI,316969.0,1281582,964613.0,33.0
2001-02,2001,A.J. Guyton,CHI,465850.0,1055705,589855.0,45.0
2009-10,2009,Aaron Brooks,HOU,1118520.0,10484308,9365788.0,82.0
2008-09,2008,Aaron Brooks,HOU,1045560.0,5411139,4365579.0,93.0
2014-15,2014,Aaron Brooks,CHI,915243.0,3899884,2984641.0,94.0
2013-14,2013,Aaron Brooks,"DEN, HOU",1027424.0,3030035,2002611.0,72.0
2010-11,2010,Aaron Brooks,"HOU, PHX",2016692.0,3394544,1377852.0,59.0
2007-08,2007,Aaron Brooks,HOU,972720.0,1525164,552444.0,57.0
2015-16,2015,Aaron Brooks,CHI,2250000.0,2209026,-40974.0,69.0
2016-17,2016,Aaron Brooks,IND,2700000.0,1604354,-1095646.0,66.0
2017-18,2017,Aaron Brooks,MIN,2116955.0,566982,-1549973.0,34.0
2012-13,2012,Aaron Brooks,"HOU, SAC",5750000.0,2088545,-3661455.0,59.0
2017-18,2017,Aaron Gordon,ORL,5504419.0,10652642,5148223.0,58.0
2016-17,2016,Aaron Gordon,ORL,4351320.0,6369384,2018064.0,80.0
2015-16,2015,Aaron Gordon,ORL,4171680.0,5210114,1038434.0,78.0
2014-15,2014,Aaron Gordon,ORL,3992040.0,1552915,-2439125.0,47.0
2021-22,2021,Aaron Gordon,DEN,16409091.0,11046706,-5362385.0,80.0
2019-20,2019,Aaron Gordon,ORL,19863636.0,12752665,-7110971.0,62.0
2020-21,2020,Aaron Gordon,"DEN, ORL",18136364.0,8818328,-9318036.0,60.0
2018-19,2018,Aaron Gordon,ORL,21590909.0,12194154,-9396755.0,83.0
2007-08,2007,Aaron Gray,CHI,427163.0,1079391,652228.0,61.0
2008-09,2008,Aaron Gray,CHI,711517.0,1045237,333720.0,58.0
2009-10,2009,Aaron Gray,"CHI, NOP",1000497.0,1166999,166502.0,32.0
2010-11,2010,Aaron Gray,NOP,1028840.0,1073078,44238.0,47.0
2011-12,2011,Aaron Gray,TOR,2500000.0,1521921,-978079.0,49.0
2014-15,2014,Aaron Gray,nan,1227985.0,0,-1227985.0,0.0
2015-16,2015,Aaron Gray,nan,1356146.0,0,-1356146.0,0.0
2013-14,2013,Aaron Gray,"SAC, TOR",2612500.0,434535,-2177965.0,37.0
2017-18,2017,Aaron Harrison,DAL,174570.0,1637375,1462805.0,9.0
2016-17,2016,Aaron Harrison,"CHA, DAL",365289.0,47828,-317461.0,5.0
2015-16,2015,Aaron Harrison,CHA,525093.0,158863,-366230.0,23.0
2021-22,2021,Aaron Henry,PHI,223338.0,-153310,-376648.0,6.0
2019-20,2019,Aaron Holiday,IND,2239200.0,6261029,4021829.0,70.0
2020-21,2020,Aaron Holiday,IND,2345640.0,2732062,386422.0,68.0
2018-19,2018,Aaron Holiday,IND,1914480.0,2236830,322350.0,53.0
2021-22,2021,Aaron Holiday,"PHX, WAS",3980551.0,3037109,-943442.0,69.0
2017-18,2017,Aaron Jackson,HOU,46079.0,246577,200498.0,8.0
2000-01,2000,Aaron McKie,PHI,1818000.0,6429486,4611486.0,99.0
2001-02,2001,Aaron McKie,PHI,4000000.0,5539146,1539146.0,53.0
1999-00,1999,Aaron McKie,PHI,1624000.0,2579458,955458.0,92.0
1995-96,1995,Aaron McKie,POR,845000.0,1612656,767656.0,86.0
1994-95,1994,Aaron McKie,POR,650000.0,780227,130227.0,48.0
1996-97,1996,Aaron McKie,"DET, POR",1040000.0,1071243,31243.0,88.0
2002-03,2002,Aaron McKie,PHI,4500000.0,4473423,-26577.0,92.0
1998-99,1998,Aaron McKie,PHI,1430000.0,1210102,-219898.0,56.0
1997-98,1997,Aaron McKie,"DET, PHI",1235000.0,870283,-364717.0,81.0
2003-04,2003,Aaron McKie,PHI,5000000.0,4176864,-823136.0,75.0
2004-05,2004,Aaron McKie,PHI,5500000.0,933132,-4566868.0,73.0
2006-07,2006,Aaron McKie,"LAL, PHI",8070874.0,600515,-7470359.0,10.0
2007-08,2007,Aaron McKie,nan,7750000.0,0,-7750000.0,0.0
2005-06,2005,Aaron McKie,"LAL, PHI",8500000.0,336005,-8163995.0,15.0
2005-06,2005,Aaron Miles,GSW,155614.0,249898,94284.0,19.0
2020-21,2020,Aaron Nesmith,BOS,3458400.0,1591239,-1867161.0,52.0
2021-22,2021,Aaron Nesmith,BOS,3631200.0,921638,-2709562.0,67.0
1994-95,1994,Aaron Swinson,PHX,102424.0,210873,108449.0,9.0
2021-22,2021,Aaron Wiggins,OKC,1305761.0,3366194,2060433.0,50.0
2000-01,2000,Aaron Williams,BKN,2250000.0,3291468,1041468.0,82.0
1999-00,1999,Aaron Williams,WAS,1100000.0,1980006,880006.0,81.0
1996-97,1996,Aaron Williams,"DEN, MEM",169000.0,876634,707634.0,33.0
1998-99,1998,Aaron Williams,OKC,575000.0,923236,348236.0,40.0
1997-98,1997,Aaron Williams,OKC,500000.0,717466,217466.0,68.0
1994-95,1994,Aaron Williams,MIL,150000.0,37116,-112884.0,15.0
2001-02,2001,Aaron Williams,BKN,2475000.0,2292040,-182960.0,102.0
2002-03,2002,Aaron Williams,BKN,2700000.0,2042663,-657337.0,100.0
2003-04,2003,Aaron Williams,BKN,2925000.0,1887771,-1037229.0,83.0
2006-07,2006,Aaron Williams,LAC,1750000.0,529489,-1220511.0,38.0
2007-08,2007,Aaron Williams,LAC,1890000.0,652358,-1237642.0,30.0
2005-06,2005,Aaron Williams,"NOP, TOR",3375000.0,1401520,-1973480.0,48.0
2004-05,2004,Aaron Williams,"BKN, TOR",3790257.0,189719,-3600538.0,42.0
2019-20,2019,Abdel Nader,OKC,1618520.0,2453201,834681.0,58.0
2020-21,2020,Abdel Nader,PHX,1752950.0,2490952,738002.0,29.0
2018-19,2018,Abdel Nader,OKC,1378242.0,1188507,-189735.0,64.0
2017-18,2017,Abdel Nader,BOS,1167333.0,594884,-572449.0,59.0
2021-22,2021,Abdel Nader,PHX,2000000.0,661165,-1338835.0,14.0
1993-94,1993,Acie Earl,BOS,650000.0,287096,-362904.0,74.0
1995-96,1995,Acie Earl,TOR,1040000.0,569995,-470005.0,42.0
1994-95,1994,Acie Earl,BOS,845000.0,68110,-776890.0,31.0
1996-97,1996,Acie Earl,"MIL, TOR",1235000.0,304463,-930537.0,47.0
1997-98,1997,Acie Earl,nan,1430000.0,0,-1430000.0,0.0
2010-11,2010,Acie Law,"GSW, MEM",859087.0,1123814,264727.0,51.0
2007-08,2007,Acie Law,ATL,1927080.0,889858,-1037222.0,63.0
2009-10,2009,Acie Law,"CHA, CHI, GSW, MEM",2216160.0,1087020,-1129140.0,26.0
2008-09,2008,Acie Law,ATL,2071680.0,895455,-1176225.0,61.0
2002-03,2002,Adam Harrington,"DAL, DEN",140636.0,208495,67859.0,19.0
1997-98,1997,Adam Keefe,UTA,2300000.0,2118086,-181914.0,95.0
1992-93,1992,Adam Keefe,ATL,1000000.0,614413,-385587.0,85.0
1994-95,1994,Adam Keefe,UTA,1500000.0,1018659,-481341.0,79.0
1995-96,1995,Adam Keefe,UTA,1650000.0,1066295,-583705.0,99.0
1993-94,1993,Adam Keefe,ATL,1200000.0,379375,-820625.0,70.0
1996-97,1996,Adam Keefe,UTA,1950000.0,683898,-1266102.0,71.0
1998-99,1998,Adam Keefe,UTA,2650000.0,1048775,-1601225.0,54.0
1999-00,1999,Adam Keefe,UTA,3000000.0,349809,-2650191.0,62.0
2000-01,2000,Adam Keefe,GSW,3390000.0,514178,-2875822.0,67.0
2019-20,2019,Adam Mokoka,CHI,79568.0,644743,565175.0,11.0
2020-21,2020,Adam Mokoka,CHI,449115.0,98947,-350168.0,14.0
2006-07,2006,Adam Morrison,CHA,3616680.0,2424621,-1192059.0,78.0
2008-09,2008,Adam Morrison,"CHA, LAL",4159200.0,696426,-3462774.0,52.0
2007-08,2007,Adam Morrison,nan,3887880.0,0,-3887880.0,0.0
2009-10,2009,Adam Morrison,LAL,5257229.0,552976,-4704253.0,33.0
2021-22,2021,Ade Murkey,SAC,53176.0,-3534,-56710.0,1.0
2021-22,2021,Admiral Schofield,ORL,723741.0,944244,220503.0,38.0
2019-20,2019,Admiral Schofield,WAS,1000000.0,667754,-332246.0,33.0
2020-21,2020,Admiral Schofield,nan,1517981.0,0,-1517981.0,0.0
1999-00,1999,Adonal Foyle,GSW,1922520.0,1162373,-760147.0,76.0
1998-99,1998,Adonal Foyle,GSW,1701000.0,683345,-1017655.0,44.0
1997-98,1997,Adonal Foyle,GSW,1495000.0,301282,-1193718.0,55.0
2009-10,2009,Adonal Foyle,nan,1306455.0,0,-1306455.0,0.0
2002-03,2002,Adonal Foyle,GSW,4400000.0,2901965,-1498035.0,82.0
2000-01,2000,Adonal Foyle,GSW,3580000.0,1703796,-1876204.0,58.0
2001-02,2001,Adonal Foyle,GSW,4400000.0,1296987,-3103013.0,79.0
2003-04,2003,Adonal Foyle,GSW,4400000.0,1091424,-3308576.0,44.0
2004-05,2004,Adonal Foyle,GSW,6500000.0,2003931,-4496069.0,78.0
2005-06,2005,Adonal Foyle,GSW,7312500.0,1911127,-5401373.0,77.0
2006-07,2006,Adonal Foyle,GSW,8125000.0,763302,-7361698.0,51.0
2008-09,2008,Adonal Foyle,"MEM, ORL, GSW",8062275.0,536319,-7525956.0,12.0
2007-08,2007,Adonal Foyle,"ORL, GSW",10157090.0,683631,-9473459.0,85.0
1998-99,1998,Adonis Jordan,MIL,350000.0,225102,-124898.0,4.0
2017-18,2017,Adreian Payne,ORL,77250.0,1167444,1090194.0,5.0
2014-15,2014,Adreian Payne,"ATL, MIN",1855320.0,1230691,-624629.0,32.0
2016-17,2016,Adreian Payne,"MIN, ORL",2022240.0,975646,-1046594.0,18.0
2015-16,2015,Adreian Payne,MIN,1938840.0,429657,-1509183.0,52.0
1995-96,1995,Adrian Caldwell,IND,225000.0,179752,-45248.0,52.0
1999-00,1999,Adrian Caldwell,nan,50000.0,0,-50000.0,0.0
1994-95,1994,Adrian Caldwell,HOU,150000.0,43858,-106142.0,7.0
1990-91,1990,Adrian Caldwell,HOU,275000.0,94667,-180333.0,42.0
1997-98,1997,Adrian Caldwell,DAL,292250.0,-1261,-293511.0,1.0
1990-91,1990,Adrian Dantley,MIL,400000.0,200906,-199094.0,13.0
2001-02,2001,Adrian Griffin,DAL,565850.0,3115348,2549498.0,62.0
2005-06,2005,Adrian Griffin,DAL,768718.0,2686775,1918057.0,72.0
1999-00,1999,Adrian Griffin,BOS,385000.0,2154415,1769415.0,72.0
2002-03,2002,Adrian Griffin,DAL,637435.0,1799362,1161927.0,89.0
2000-01,2000,Adrian Griffin,BOS,498500.0,480626,-17874.0,44.0
2004-05,2004,Adrian Griffin,"CHI, DAL",870046.0,710675,-159371.0,74.0
2003-04,2003,Adrian Griffin,HOU,751179.0,208183,-542996.0,19.0
2006-07,2006,Adrian Griffin,CHI,1475000.0,867267,-607733.0,58.0
2007-08,2007,Adrian Griffin,"CHI, OKC",1593000.0,494683,-1098317.0,35.0
2008-09,2008,Adrian Griffin,nan,1711000.0,0,-1711000.0,0.0
2021-22,2021,Ahmad Caver,IND,53176.0,536176,483000.0,1.0
2016-17,2016,AJ Hammons,DAL,650000.0,460649,-189351.0,22.0
2020-21,2020,AJ Hammons,nan,350087.0,0,-350087.0,0.0
2017-18,2017,AJ Hammons,nan,1312611.0,0,-1312611.0,0.0
2012-13,2012,AJ Price,WAS,885120.0,3017251,2132131.0,57.0
2009-10,2009,AJ Price,IND,457588.0,2216314,1758726.0,56.0
2014-15,2014,AJ Price,"CLE, IND, PHX",493917.0,1398525,904608.0,26.0
2010-11,2010,AJ Price,IND,762195.0,1609590,847395.0,55.0
2011-12,2011,AJ Price,IND,854389.0,1349536,495147.0,48.0
2013-14,2013,AJ Price,MIN,947907.0,303999,-643908.0,28.0
2001-02,2001,Al Harrington,IND,1436982.0,4579517,3142535.0,44.0
2000-01,2000,Al Harrington,IND,797880.0,1786803,988923.0,81.0
2005-06,2005,Al Harrington,ATL,6957500.0,7518084,560584.0,76.0
1999-00,1999,Al Harrington,IND,745800.0,1044556,298756.0,50.0
2003-04,2003,Al Harrington,IND,5692500.0,5726103,33603.0,95.0
1998-99,1998,Al Harrington,IND,543000.0,197453,-345547.0,21.0
2011-12,2011,Al Harrington,DEN,6226200.0,5607339,-618861.0,71.0
2004-05,2004,Al Harrington,ATL,6325000.0,5476636,-848364.0,66.0
2008-09,2008,Al Harrington,"GSW, NYK",9226250.0,7937344,-1288906.0,73.0
2002-03,2002,Al Harrington,IND,5060000.0,3668174,-1391826.0,88.0
2006-07,2006,Al Harrington,"GSW, IND",7625000.0,5841981,-1783019.0,89.0
2010-11,2010,Al Harrington,DEN,5765000.0,3321067,-2443933.0,78.0
2007-08,2007,Al Harrington,GSW,8425625.0,5686289,-2739336.0,81.0
2009-10,2009,Al Harrington,NYK,10026875.0,7196907,-2829968.0,72.0
2012-13,2012,Al Harrington,ORL,6687400.0,1358124,-5329276.0,10.0
2013-14,2013,Al Harrington,"WAS, ORL",8548107.0,1213215,-7334892.0,41.0
2014-15,2014,Al Harrington,nan,7609800.0,0,-7609800.0,0.0
2009-10,2009,Al Horford,ATL,4307640.0,12777702,8470062.0,92.0
2010-11,2010,Al Horford,ATL,5444857.0,12777327,7332470.0,89.0
2008-09,2008,Al Horford,ATL,4026720.0,9008130,4981410.0,76.0
2012-13,2012,Al Horford,ATL,12000000.0,14704038,2704038.0,80.0
2007-08,2007,Al Horford,ATL,3745800.0,5857977,2112177.0,88.0
2013-14,2013,Al Horford,ATL,12000000.0,14074428,2074428.0,29.0
2014-15,2014,Al Horford,ATL,12000000.0,13485388,1485388.0,92.0
2015-16,2015,Al Horford,ATL,12000000.0,12054648,54648.0,92.0
2011-12,2011,Al Horford,ATL,12000000.0,10831576,-1168424.0,14.0
2016-17,2016,Al Horford,BOS,26540100.0,14919694,-11620406.0,86.0
2017-18,2017,Al Horford,BOS,27734405.0,14571908,-13162497.0,91.0
2018-19,2018,Al Horford,BOS,28928710.0,14304750,-14623960.0,77.0
2021-22,2021,Al Horford,BOS,27000000.0,11815193,-15184807.0,92.0
2019-20,2019,Al Horford,PHI,28000000.0,11707292,-16292708.0,71.0
2020-21,2020,Al Horford,OKC,27500000.0,10725440,-16774560.0,28.0
2007-08,2007,Al Jefferson,MIN,2480885.0,12018040,9537155.0,82.0
2006-07,2006,Al Jefferson,BOS,1618320.0,8462357,6844037.0,69.0
2008-09,2008,Al Jefferson,MIN,11000000.0,13967617,2967617.0,50.0
2013-14,2013,Al Jefferson,CHA,13500000.0,15683047,2183047.0,76.0
2005-06,2005,Al Jefferson,BOS,1512840.0,2513410,1000570.0,59.0
2004-05,2004,Al Jefferson,BOS,1407240.0,2072054,664814.0,78.0
2011-12,2011,Al Jefferson,UTA,14000000.0,14591110,591110.0,65.0
2010-11,2010,Al Jefferson,UTA,13000000.0,12273101,-726899.0,82.0
2012-13,2012,Al Jefferson,UTA,15000000.0,13028198,-1971802.0,78.0
2018-19,2018,Al Jefferson,nan,4000000.0,0,-4000000.0,0.0
2009-10,2009,Al Jefferson,MIN,12000000.0,7490507,-4509493.0,76.0
2014-15,2014,Al Jefferson,CHA,13500000.0,8767008,-4732992.0,65.0
2015-16,2015,Al Jefferson,CHA,13500000.0,7316683,-6183317.0,54.0
2017-18,2017,Al Jefferson,IND,9769821.0,3405682,-6364139.0,36.0
2016-17,2016,Al Jefferson,IND,10230179.0,3673843,-6556336.0,66.0
2008-09,2008,Al Thornton,LAC,1776240.0,5866387,4090147.0,71.0
2007-08,2007,Al Thornton,LAC,1652280.0,3867128,2214848.0,79.0
2009-10,2009,Al Thornton,"LAC, WAS",1900200.0,3565053,1664853.0,75.0
2010-11,2010,Al Thornton,"GSW, WAS",2814196.0,1900489,-913707.0,71.0
2014-15,2014,Al-Farouq Aminu,DAL,981084.0,3066896,2085812.0,79.0
2012-13,2012,Al-Farouq Aminu,NOP,2947800.0,4105933,1158133.0,76.0
2013-14,2013,Al-Farouq Aminu,NOP,3700000.0,3647398,-52602.0,80.0
2018-19,2018,Al-Farouq Aminu,POR,6957105.0,6671074,-286031.0,97.0
2011-12,2011,Al-Farouq Aminu,NOP,2755560.0,2176819,-578741.0,66.0
2017-18,2017,Al-Farouq Aminu,POR,7319035.0,6287568,-1031467.0,73.0
2010-11,2010,Al-Farouq Aminu,LAC,2563320.0,1426077,-1137243.0,81.0
2015-16,2015,Al-Farouq Aminu,POR,8042895.0,5602706,-2440189.0,93.0
2016-17,2016,Al-Farouq Aminu,POR,7680965.0,4955255,-2725710.0,65.0
2019-20,2019,Al-Farouq Aminu,ORL,9258000.0,2417243,-6840757.0,18.0
2020-21,2020,Al-Farouq Aminu,"CHI, ORL, BOS",9720900.0,2154884,-7566016.0,23.0
2021-22,2021,Al-Farouq Aminu,nan,10335621.0,0,-10335621.0,0.0
1992-93,1992,Alaa Abdelnaby,"BOS, MIL",500000.0,535728,35728.0,79.0
1991-92,1991,Alaa Abdelnaby,POR,494000.0,342559,-151441.0,79.0
1990-91,1990,Alaa Abdelnaby,POR,395000.0,136226,-258774.0,48.0
1994-95,1994,Alaa Abdelnaby,"PHI, SAC",650000.0,304341,-345659.0,54.0
1993-94,1993,Alaa Abdelnaby,BOS,805000.0,288805,-516195.0,13.0
2012-13,2012,Alan Anderson,TOR,885120.0,3282511,2397391.0,65.0
2014-15,2014,Alan Anderson,BKN,1276061.0,2961391,1685330.0,80.0
2013-14,2013,Alan Anderson,BKN,947907.0,2024352,1076445.0,90.0
2006-07,2006,Alan Anderson,CHA,102131.0,1164590,1062459.0,17.0
2005-06,2005,Alan Anderson,CHA,398762.0,1067629,668867.0,36.0
2016-17,2016,Alan Anderson,LAC,1315448.0,489181,-826267.0,30.0
2015-16,2015,Alan Anderson,WAS,4000000.0,1503744,-2496256.0,13.0
1997-98,1997,Alan Henderson,ATL,1028400.0,3900355,2871955.0,73.0
1996-97,1996,Alan Henderson,ATL,910000.0,1000914,90914.0,40.0
1995-96,1995,Alan Henderson,ATL,791000.0,783399,-7601.0,89.0
2006-07,2006,Alan Henderson,"PHI, UTA",1178348.0,1045798,-132550.0,38.0
2005-06,2005,Alan Henderson,CLE,1138500.0,840392,-298108.0,53.0
1998-99,1998,Alan Henderson,ATL,4725000.0,3649988,-1075012.0,39.0
1999-00,1999,Alan Henderson,ATL,5318437.0,3396373,-1922064.0,82.0
2000-01,2000,Alan Henderson,ATL,5910000.0,2456412,-3453588.0,73.0
2001-02,2001,Alan Henderson,ATL,6500312.0,1629526,-4870786.0,26.0
2002-03,2002,Alan Henderson,ATL,7091250.0,1687529,-5403721.0,82.0
2003-04,2003,Alan Henderson,ATL,7682188.0,1202773,-6479415.0,6.0
2004-05,2004,Alan Henderson,DAL,8273125.0,1376754,-6896371.0,87.0
1990-91,1990,Alan Ogg,MIA,130000.0,60954,-69046.0,31.0
1991-92,1991,Alan Ogg,MIA,202000.0,90908,-111092.0,46.0
2016-17,2016,Alan Williams,PHX,874636.0,3240132,2365496.0,47.0
2018-19,2018,Alan Williams,BKN,77250.0,1619615,1542365.0,5.0
2015-16,2015,Alan Williams,PHX,114284.0,1243253,1128969.0,10.0
2017-18,2017,Alan Williams,"PHX, BKN",6000000.0,1061541,-4938459.0,5.0
2007-08,2007,Alando Tucker,PHX,931920.0,1043993,112073.0,6.0
2008-09,2008,Alando Tucker,PHX,1001880.0,1004164,2284.0,30.0
2009-10,2009,Alando Tucker,"MIN, PHX",1071720.0,553387,-518333.0,15.0
2019-20,2019,Alec Burks,"GSW, PHI",2320044.0,8890990,6570946.0,70.0
2013-14,2013,Alec Burks,UTA,2323200.0,5494020,3170820.0,78.0
2014-15,2014,Alec Burks,UTA,3201369.0,5764672,2563303.0,27.0
2020-21,2020,Alec Burks,NYK,6000000.0,8221940,2221940.0,54.0
2011-12,2011,Alec Burks,UTA,2020200.0,2182897,162697.0,63.0
2012-13,2012,Alec Burks,UTA,2171640.0,1919028,-252612.0,64.0
2021-22,2021,Alec Burks,NYK,9536000.0,8004373,-1531627.0,81.0
2015-16,2015,Alec Burks,UTA,9213484.0,4736799,-4476685.0,31.0
2017-18,2017,Alec Burks,UTA,10845506.0,3494842,-7350664.0,73.0
2018-19,2018,Alec Burks,"CLE, SAC, UTA",11536515.0,3970042,-7566473.0,64.0
2016-17,2016,Alec Burks,UTA,9904495.0,2277374,-7627121.0,42.0
1992-93,1992,Alec Kessler,MIA,762000.0,210912,-551088.0,40.0
1993-94,1993,Alec Kessler,MIA,922000.0,127462,-794538.0,15.0
1991-92,1991,Alec Kessler,MIA,1122000.0,240466,-881534.0,79.0
1994-95,1994,Alec Kessler,nan,1402000.0,0,-1402000.0,0.0
1990-91,1990,Alec Kessler,MIA,1600000.0,161766,-1438234.0,78.0
1995-96,1995,Alec Kessler,nan,1600000.0,0,-1600000.0,0.0
2017-18,2017,Alec Peters,PHX,77250.0,1394545,1317295.0,20.0
2021-22,2021,Aleem Ford,ORL,53176.0,365084,311908.0,5.0
2021-22,2021,Alekesej Pokusevski,OKC,3113160.0,2987953,-125207.0,61.0
2020-21,2020,Alekesej Pokusevski,OKC,2964840.0,2509241,-455599.0,45.0
2004-05,2004,Aleksandar Radojevic,UTA,720046.0,-79032,-799078.0,12.0
1999-00,1999,Aleksandar Radojevic,TOR,1325760.0,39647,-1286113.0,3.0
2000-01,2000,Aleksandar Radojevic,nan,1425120.0,0,-1425120.0,0.0
2001-02,2001,Aleksandar Radojevic,nan,1524600.0,0,-1524600.0,0.0
2019-20,2019,Alen Smailagic,GSW,898310.0,1456286,557976.0,14.0
2020-21,2020,Alen Smailagic,GSW,1517981.0,561093,-956888.0,15.0
2018-19,2018,Alex Abrines,OKC,3667645.0,1725062,-1942583.0,31.0
2017-18,2017,Alex Abrines,OKC,5725000.0,1652151,-4072849.0,81.0
2016-17,2016,Alex Abrines,OKC,5994764.0,1908159,-4086605.0,73.0
2008-09,2008,Alex Acker,"DET, LAC",711517.0,558189,-153328.0,25.0
2005-06,2005,Alex Acker,DET,398762.0,-67479,-466241.0,5.0
2006-07,2006,Alex Acker,nan,839209.0,0,-839209.0,0.0
1992-93,1992,Alex Blackwell,LAL,140000.0,51442,-88558.0,27.0
2018-19,2018,Alex Caruso,LAL,77250.0,4524053,4446803.0,25.0
2017-18,2017,Alex Caruso,LAL,77250.0,1619595,1542345.0,37.0
2019-20,2019,Alex Caruso,LAL,2750000.0,3898611,1148611.0,85.0
2020-21,2020,Alex Caruso,LAL,2750000.0,3868741,1118741.0,65.0
2016-17,2016,Alex Caruso,nan,50000.0,0,-50000.0,0.0
2021-22,2021,Alex Caruso,CHI,8600000.0,6153446,-2446554.0,45.0
1991-92,1991,Alex English,nan,500000.0,0,-500000.0,0.0
1990-91,1990,Alex English,DAL,1500000.0,498375,-1001625.0,79.0
2004-05,2004,Alex Garcia,NOP,620046.0,861745,241699.0,8.0
2003-04,2003,Alex Garcia,SAS,366931.0,-101849,-468780.0,2.0
2014-15,2014,Alex Kirk,CLE,214871.0,141502,-73369.0,5.0
2017-18,2017,Alex Len,PHX,4187599.0,5268204,1080605.0,69.0
2018-19,2018,Alex Len,ATL,4350000.0,5339286,989286.0,77.0
2019-20,2019,Alex Len,"ATL, SAC",4160000.0,4534395,374395.0,55.0
2015-16,2015,Alex Len,PHX,3807120.0,3290821,-516299.0,78.0
2020-21,2020,Alex Len,"TOR, WAS",3970648.0,3249867,-720781.0,71.0
2014-15,2014,Alex Len,PHX,3649920.0,2899032,-750888.0,69.0
2021-22,2021,Alex Len,SAC,3732000.0,2573666,-1158334.0,39.0
2016-17,2016,Alex Len,PHX,4823621.0,3363556,-1460065.0,77.0
2013-14,2013,Alex Len,PHX,3492720.0,447232,-3045488.0,42.0
2016-17,2016,Alex Poythress,"PHI, IND",73743.0,3585479,3511736.0,6.0
2018-19,2018,Alex Poythress,ATL,77250.0,2010012,1932762.0,21.0
2017-18,2017,Alex Poythress,"IND, ATL",778668.0,225913,-552755.0,25.0
2005-06,2005,Alex Scales,SAS,24315.0,0,-24315.0,1.0
2015-16,2015,Alex Stepheson,"LAC, MEM",92662.0,723910,631248.0,8.0
1992-93,1992,Alex Stivrins,"ATL, LAC, MIL, PHX",140000.0,82824,-57176.0,19.0
2006-07,2006,Alexander Johnson,MEM,412718.0,959989,547271.0,59.0
2007-08,2007,Alexander Johnson,MIA,687456.0,655483,-31973.0,43.0
1991-92,1991,Alexander Volkov,ATL,675000.0,738795,63795.0,77.0
1990-91,1990,Alexander Volkov,nan,650000.0,0,-650000.0,0.0
2014-15,2014,Alexey Shved,"HOU, NYK, PHI",3198723.0,3433880,235157.0,42.0
2012-13,2012,Alexey Shved,MIN,3017943.0,3146981,129038.0,77.0
2013-14,2013,Alexey Shved,MIN,3066667.0,981828,-2084839.0,63.0
2014-15,2014,Alexis Ajinca,NOP,981084.0,2865691,1884607.0,71.0
2013-14,2013,Alexis Ajinca,NOP,635880.0,2089709,1453829.0,56.0
2010-11,2010,Alexis Ajinca,"DAL, TOR",1467840.0,728873,-738967.0,34.0
2008-09,2008,Alexis Ajinca,CHA,1276320.0,245976,-1030344.0,31.0
2009-10,2009,Alexis Ajinca,CHA,1372080.0,144507,-1227573.0,6.0
2015-16,2015,Alexis Ajinca,NOP,4539607.0,1899077,-2640530.0,59.0
2016-17,2016,Alexis Ajinca,NOP,4863206.0,1992366,-2870840.0,39.0
2017-18,2017,Alexis Ajinca,nan,4961798.0,0,-4961798.0,0.0
2018-19,2018,Alexis Ajinca,nan,5285394.0,0,-5285394.0,0.0
2018-19,2018,Alfonzo McKinnie,GSW,1349383.0,1941296,591913.0,94.0
2021-22,2021,Alfonzo McKinnie,CHI,1090007.0,836328,-253679.0,17.0
2017-18,2017,Alfonzo McKinnie,TOR,815615.0,355007,-460608.0,14.0
2020-21,2020,Alfonzo McKinnie,LAL,1762796.0,1150831,-611965.0,41.0
2019-20,2019,Alfonzo McKinnie,CLE,2391985.0,1466932,-925053.0,40.0
2020-21,2020,Alize Johnson,"BKN, WAS, NOP, CHI",621587.0,2976274,2354687.0,23.0
2021-22,2021,Alize Johnson,"CHI, NOP, WAS, SAS",1003740.0,853883,-149857.0,23.0
2019-20,2019,Alize Johnson,IND,1416852.0,1110259,-306593.0,18.0
2018-19,2018,Alize Johnson,IND,838464.0,313776,-524688.0,14.0
1995-96,1995,Allan Houston,DET,1177000.0,3646608,2469608.0,85.0
1994-95,1994,Allan Houston,DET,956000.0,1581879,625879.0,76.0
